Nombre,Fecha inicio,Fecha fin,URL,Ciudad,Estado,Latitud,Longitud
C.A. Pawer – Prueba de Agility,"25 octubre, 2025","26 octubre, 2025",https://www.rsce.es/eventos/c-a-pawer-prueba-de-agility-5/,Cantabria,Activo,43.1595664,-4.0878382
C.A. L’Almozara Can Bosc – Prueba de Agility,"1 noviembre, 2025","2 noviembre, 2025",https://www.rsce.es/eventos/c-a-lalmozara-can-bosc-prueba-de-agility-3/,Barcelona,Activo,41.3825802,2.177073
C.A. Almussafes – Prueba de Agility,"8 noviembre, 2025","9 noviembre, 2025",https://www.rsce.es/eventos/c-a-almussafes-prueba-de-agility/,Valencia,Activo,39.4697065,-0.3763353
C.A. Do It – Prueba de Agility,"8 noviembre, 2025","9 noviembre, 2025",https://www.rsce.es/eventos/c-a-do-it-prueba-de-agility/,Madrid,Activo,40.4167047,-3.7035825
C.A. Sa Roca – Prueba de Agility,"8 noviembre, 2025","9 noviembre, 2025",https://www.rsce.es/eventos/c-a-sa-roca-prueba-de-agility/,Zaragoza,Activo,41.6521342,-0.8809428
C.A. Valle de Güimar – Prueba de Agility,"8 noviembre, 2025","9 noviembre, 2025",https://www.rsce.es/eventos/c-a-valle-de-guimar-prueba-de-agility-4/,Tenerife,Activo,28.2935785,-16.6214471
C.A. Xanastur – Prueba de Agility,"8 noviembre, 2025","9 noviembre, 2025",https://www.rsce.es/eventos/c-a-xanastur-prueba-de-agility-7/,Oviedo,Activo,43.3618625,-5.8483581
C.A. Ourencan – Prueba de Agility,"8 noviembre, 2025","9 noviembre, 2025",https://www.rsce.es/eventos/c-a-ourencan-prueba-de-agility-3/,Orense,Activo,42.1939629,-7.537124
C.A. Rio Mula – Prueba de Agility,"8 noviembre, 2025","9 noviembre, 2025",https://www.rsce.es/eventos/c-a-rio-mula-prueba-de-agility-2/,Murcia,Activo,37.9923795,-1.1305431
C.A. El Area Jerez – Prueba de Agility,"14 noviembre, 2025","16 noviembre, 2025",https://www.rsce.es/eventos/c-a-el-area-jerez-prueba-de-agility-4/,Cádiz,Activo,36.5297438,-6.2928976
C.A. Baix Llobregat – Prueba de Agility,"15 noviembre, 2025","16 noviembre, 2025",https://www.rsce.es/eventos/c-a-baix-llobregat-prueba-de-agility-3/,Barcelona,Activo,41.3825802,2.177073
C.A. Divertidog Sonrisas y Huellas – Prueba de Agility,"15 noviembre, 2025","16 noviembre, 2025",https://www.rsce.es/eventos/c-a-divertidog-sonrisas-y-huellas-prueba-de-agility-4/,Zaragoza,Activo,41.6521342,-0.8809428
C.A. Star Can – Prueba de Agility,"15 noviembre, 2025","16 noviembre, 2025",https://www.rsce.es/eventos/c-a-star-can-prueba-de-agility-2/,Alicante,Activo,38.3436365,-0.4881708
C.A. Pinto – Prueba de Agility,"15 noviembre, 2025","16 noviembre, 2025",https://www.rsce.es/eventos/c-a-pinto-prueba-de-agility/,Madrid,Activo,40.4167047,-3.7035825
Copa en España de Agility de la RSCE para la raza Perro de Agua Español,"15 noviembre, 2025",,https://www.rsce.es/eventos/copa-en-espana-de-agility-de-la-rsce-para-la-raza-perro-de-agua-espanol-2/,Paterna de Rivera (Cádiz),Activo,36.5229634,-5.864702
C.A. Implican – Prueba de Agility,"21 noviembre, 2025","23 noviembre, 2025",https://www.rsce.es/eventos/c-a-implican-prueba-de-agility-3/,Yunquera de Henares (Guadalajara),Activo,40.7546981,-3.1662667
C.A. Tercans – Prueba de Agility,"22 noviembre, 2025","23 noviembre, 2025",https://www.rsce.es/eventos/c-a-tercans-prueba-de-agility-8/,Pontevedra,Activo,42.4318876,-8.6431592
C.A. Sigue Hop Gran Canaria – Prueba de Agility,"22 noviembre, 2025","23 noviembre, 2025",https://www.rsce.es/eventos/c-a-sigue-hop-gran-canaria-prueba-de-agility-3/,Las Palmas de Gran Canaria,Activo,28.1288694,-15.4349015
C.A. Pawer – Prueba de Agility,"22 noviembre, 2025","23 noviembre, 2025",https://www.rsce.es/eventos/c-a-pawer-prueba-de-agility-6/,Cantabria,Activo,43.1595664,-4.0878382
C.A. Villena – Prueba de Agility,"22 noviembre, 2025","23 noviembre, 2025",https://www.rsce.es/eventos/c-a-villena-prueba-de-agility-5/,Alicante,Activo,38.3436365,-0.4881708
C.A. Thunderdogs Galicia – Prueba de Agility,"28 noviembre, 2025","29 noviembre, 2025",https://www.rsce.es/eventos/c-a-thunderdogs-galicia-prueba-de-agility-6/,Pontevedra,Activo,42.4318876,-8.6431592
C.A. Agilcan – Prueba de Agility,"29 noviembre, 2025","30 noviembre, 2025",https://www.rsce.es/eventos/c-a-agilcan-prueba-de-agility-2/,Madrid,Activo,40.4167047,-3.7035825
C.A. Ciutat Comtal – Prueba de Agility,"29 noviembre, 2025",,https://www.rsce.es/eventos/c-a-ciutat-comtal-prueba-de-agility-4/,Barcelona,Activo,41.3825802,2.177073
C.A. Neo Reus – Prueba de Agility,"5 diciembre, 2025","8 diciembre, 2025",https://www.rsce.es/eventos/c-a-neo-reus-prueba-de-agility-3/,Tarragona,Activo,41.1172364,1.2546057
C.A. Haguayan – Prueba de Agility,"6 diciembre, 2025","8 diciembre, 2025",https://www.rsce.es/eventos/c-a-haguayan-prueba-de-agility-3/,Las Palmas,Activo,27.9580004,-15.6062305
C.A. Costa Blanca – Prueba de Agility,"6 diciembre, 2025","7 diciembre, 2025",https://www.rsce.es/eventos/c-a-costa-blanca-prueba-de-agility-3/,Alicante,Activo,38.3436365,-0.4881708
